"","OBJECTID1915","ecosite1","ecosite2","ecosite3","SP1915","FG1915","FG_GSName","FG_GSNum","SPTally","GeneralizedStateNum","GeneralizedStateName","VegUnite","SiteName","Site"
"19",112,"Gravelly","Sandy"," ","LATR2,PRGL2,BOER4","shrub,shrub,PG","ShrubDominated",5,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"20",116,"Gravelly",NA,NA,"PLMU3,FLCE,LATR2","PG,shrub,shrub",NA,NA,2,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"21",206,"Gravelly",NA,NA,"SPORssp,FLCE,PLMU3","shrub,PG","ShrubDominated",5,1,"5","ShrubDominated","LATR2,FLCE,BOER4","Gravelly","R042XB010NM"
"22",47,"Gravelly","Shallow sandy"," ","FLCE,LATR2,PRGL2","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","LATR2,MUPO2","Gravelly","R042XB010NM"
"23",60,"Gravelly"," "," ","FLCE,SCBR2,BOER4","shrub,PG,PG","Shrubland",6,0,"6","Shrubland","LATR2,MUPO2","Gravelly","R042XB010NM"
"24",104,"Gravelly","Shallow sandy"," ","LATR2,FLCE,PRGL2","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","LATR2,MUPO2","Gravelly","R042XB010NM"
"25",182,"Gravelly",NA,NA,"SCBR2,PLMU3,","PG,PG","Shrubland",6,0,"6","Shrubland","LATR2,MUPO2","Gravelly","R042XB010NM"
"26",206,"Gravelly",NA,NA,"SPORssp,FLCE,PLMU3","shrub,PG","Shrubland",6,0,"6","Shrubland","LATR2,MUPO2","Gravelly","R042XB010NM"
"27",182,"Gravelly",NA,NA,"SCBR2,PLMU3,","PG,PG","AlteredGrassland",2,0,"2","AlteredSavanna","BOBA3,ARIST,SPORO","Gravelly","R042XB010NM"
"28",196,"Gravelly",NA,NA,"SCBR2,PLMU3,SPAI","PG,PG,PG","AlteredGrassland",2,0,"2","AlteredSavanna","BOBA3,ARIST,SPORO","Gravelly","R042XB010NM"
"29",196,"Gravelly",NA,NA,"SCBR2,PLMU3,SPAI","PG,PG,PG","AlteredSavanna",2,0,"2","AlteredSavanna","BOBA3,ARIST,SPORO","Gravelly","R042XB010NM"
"30",201,"Gravelly",NA,NA,"SCBR2,SPAI,PLMU3","PG,PG,PG","AlteredGrassland",2,0,"2","AlteredSavanna","BOBA3,ARIST,SPORO","Gravelly","R042XB010NM"
"31",201,"Gravelly",NA,NA,"SCBR2,SPAI,PLMU3","PG,PG,PG","AlteredSavanna",2,0,"2","AlteredSavanna","BOBA3,ARIST,SPORO","Gravelly","R042XB010NM"
"32",47,"Gravelly","Shallow sandy"," ","FLCE,LATR2,PRGL2","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","LATR2","Gravelly","R042XB010NM"
"33",60,"Gravelly"," "," ","FLCE,SCBR2,BOER4","shrub,PG,PG","Shrubland",6,0,"6","Shrubland","LATR2","Gravelly","R042XB010NM"
"34",104,"Gravelly","Shallow sandy"," ","LATR2,FLCE,PRGL2","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","LATR2","Gravelly","R042XB010NM"
"35",182,"Gravelly",NA,NA,"SCBR2,PLMU3,","PG,PG","Shrubland",6,0,"6","Shrubland","LATR2","Gravelly","R042XB010NM"
"36",206,"Gravelly",NA,NA,"SPORssp,FLCE,PLMU3","shrub,PG","Shrubland",6,0,"6","Shrubland","LATR2","Gravelly","R042XB010NM"
"37",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","Grassland",1,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"38",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","AlteredGrassland",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"39",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","AlteredSavanna",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"40",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","ShrubSavanna",3,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"41",12,"Sandy","Bottomland","Loamy","BOER4,ARIST,","PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"42",14,"Sandy","Bottomland","Loamy","BOER4,ARIST,DAPU7","PG,PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"43",17,"Sandy"," "," ","BOER4,ARIST,MUAR","PG,PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"44",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","Grassland",1,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"45",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","AlteredGrassland",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"46",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","AlteredSavanna",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"47",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","ShrubSavanna",3,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"48",25,"Sandy","Shallow sandy"," ","BOER4,MUAR,SCBR2","PG,PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"49",32,"Sandy","No ecosite"," ","BOER4,YUEL,SPORO","PG,succulent,PG",NA,NA,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"50",86,"Sandy","Deep sand","Shallow sandy","HIMU,SCBR2,","PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"51",120,"Sandy",NA,NA,"PLMU3,SCBR2,","PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"52",122,"Sandy",NA,NA,"PLMU3,SCBR2,MUAR","PG,PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"53",123,"Sandy",NA,NA,"PLMU3,SCBR2,MUAR","PG,PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"54",125,"Sandy",NA,NA,"PLMU3,SCBR2,SPAI","PG,PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"55",169,"Sandy",NA,NA,"PRGL2,SPORO,BOER4","shrub,PG,PG","ShrubInvadedGrassland",4,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"56",169,"Sandy",NA,NA,"PRGL2,SPORO,BOER4","shrub,PG,PG","Shrubland",6,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"57",174,"Sandy",NA,NA,"SCBR2,ARIST,BOER4","PG,PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"58",175,"Sandy",NA,NA,"SCBR2,BOER4,ARIST","PG,PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"59",178,"Sandy",NA,NA,"SCBR2,BOER4,MUAR","PG,PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"60",179,"Sandy",NA,NA,"SCBR2,BOER4,SPORO","PG,PG,PG","Grassland",1,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"61",179,"Sandy",NA,NA,"SCBR2,BOER4,SPORO","PG,PG,PG","AlteredGrassland",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"62",179,"Sandy",NA,NA,"SCBR2,BOER4,SPORO","PG,PG,PG","AlteredSavanna",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"63",179,"Sandy",NA,NA,"SCBR2,BOER4,SPORO","PG,PG,PG","ShrubSavanna",3,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"64",184,"Sandy",NA,NA,"SCBR2,PLMU3,","PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"65",185,"Sandy",NA,NA,"SCBR2,PLMU3,ARIST","PG,PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"66",187,"Sandy",NA,NA,"SCBR2,PLMU3,BOER4","PG,PG,PG","Grassland",1,1,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"67",194,"Sandy",NA,NA,"SCBR2,PLMU3,MUAR","PG,PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"68",198,"Sandy",NA,NA,"SCBR2,PLMU3,SPAI","PG,PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"69",203,"Sandy",NA,NA,"SCBR2,SPAI,PLMU3","PG,PG,PG","Grassland",1,0,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"70",204,"Sandy",NA,NA,"SCBR2,SPORO,BOER4","PG,PG,PG","Grassland",1,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"71",204,"Sandy",NA,NA,"SCBR2,SPORO,BOER4","PG,PG,PG","AlteredGrassland",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"72",204,"Sandy",NA,NA,"SCBR2,SPORO,BOER4","PG,PG,PG","AlteredSavanna",2,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"73",204,"Sandy",NA,NA,"SCBR2,SPORO,BOER4","PG,PG,PG","ShrubSavanna",3,2,"1","Grassland","BOER4,SPORO,MUPO2","Sandy","R042XB012NM"
"74",3,"Sandy","Limy","Salt Flats","ARIST,BOER4,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"75",18,"Clayey","Sandy","Shallow sandy","BOER4,ARIST,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"76",19,"Deep sand","Sandy","Shallow sandy","BOER4,ARIST,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"77",20,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"78",28,"Sandy","Shallow sandy","Shallow sandy","BOER4,PRGL2,YUEL","PG,shrub,succulent",NA,NA,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"79",29,"Sandy","Shallow sandy","Shallow sandy","BOER4,SCBR2,FLCE","PG,PG,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"80",35,"Sandy","No ecosite"," ","FLCE,LATR2,ATCA2","shrub,shrub,shrub","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"81",50,"Sandy","Shallow sandy"," ","FLCE,LATR2,PRGL2","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"82",61,"Sandy"," "," ","FLCE,SCBR2,BOER4","shrub,PG,PG","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"83",63,"Sandy"," "," ","FLCE,SCBR2,PLMU3","shrub,PG,PG","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"84",64,"Sandy"," "," ","FLCE,SCBR2,SPAI","shrub,PG,PG","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"85",66,"Sandy"," "," ","GUSA2,BOER4,PRGL2","subshrub,PG,shrub",NA,NA,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"86",78,"Sandy","Deep sand"," ","GUSA2,PRGL2,BOER4","subshrub,shrub,PG",NA,NA,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"87",106,"Sandy","Shallow sandy"," ","LATR2,FLCE,PRGL2","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"88",112,"Gravelly","Sandy"," ","LATR2,PRGL2,BOER4","shrub,shrub,PG","ShrubDominated",5,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"89",114,"Sandy",NA,NA,"LATR2,PRGL2,BOER4","shrub,shrub,PG","ShrubDominated",5,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"90",124,"Sandy",NA,NA,"PLMU3,SCBR2,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"91",134,"Sandy",NA,NA,"PRGL2,ATCA2,ARFI2","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"92",141,"Sandy",NA,NA,"PRGL2,BOER4,GUSA2","shrub,PG,subshrub",NA,NA,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"93",163,"Sandy",NA,NA,"PRGL2,LATR2,FLCE","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"94",169,"Sandy",NA,NA,"PRGL2,SPORO,BOER4","shrub,PG,PG","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"95",169,"Sandy",NA,NA,"PRGL2,SPORO,BOER4","shrub,PG,PG","Shrubland",6,2,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"96",176,"Sandy",NA,NA,"SCBR2,BOER4,FLCE","PG,PG,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"97",190,"Sandy",NA,NA,"SCBR2,PLMU3,FLCE","PG,PG,shrub","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"98",207,"Sandy",NA,NA,"SPORssp,FLCE,PLMU3","shrub,PG","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","BOER4,PRGL2","Sandy","R042XB012NM"
"99",3,"Sandy","Limy","Salt Flats","ARIST,BOER4,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"100",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","Grassland",1,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"101",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","AlteredGrassland",2,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"102",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","AlteredSavanna",2,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"103",5,"Sandy","Limy","Salt Flats","ARIST,BOER4,SPORO","PG,PG,PG","ShrubSavanna",3,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"104",18,"Clayey","Sandy","Shallow sandy","BOER4,ARIST,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"105",19,"Deep sand","Sandy","Shallow sandy","BOER4,ARIST,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"106",20,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"107",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","Grassland",1,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"108",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","AlteredGrassland",2,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"109",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","AlteredSavanna",2,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"110",21,"Sandy","Sandy","Shallow sandy","BOER4,ARIST,SPORO","PG,PG,PG","ShrubSavanna",3,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"111",29,"Sandy","Shallow sandy","Shallow sandy","BOER4,SCBR2,FLCE","PG,PG,shrub","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"112",35,"Sandy","No ecosite"," ","FLCE,LATR2,ATCA2","shrub,shrub,shrub","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"113",50,"Sandy","Shallow sandy"," ","FLCE,LATR2,PRGL2","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"114",61,"Sandy"," "," ","FLCE,SCBR2,BOER4","shrub,PG,PG","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"115",63,"Sandy"," "," ","FLCE,SCBR2,PLMU3","shrub,PG,PG","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"116",64,"Sandy"," "," ","FLCE,SCBR2,SPAI","shrub,PG,PG","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"117",74,"Sandy","Deep sand"," ","GUSA2,PRGL2,ARIST","subshrub,shrub,PG",NA,NA,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"118",83,"Sandy","Deep sand","Shallow sandy","GUSA2,PRGL2,SPORO","subshrub,shrub,PG",NA,NA,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"119",106,"Sandy","Shallow sandy"," ","LATR2,FLCE,PRGL2","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"120",124,"Sandy",NA,NA,"PLMU3,SCBR2,PRGL2","PG,PG,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"121",134,"Sandy",NA,NA,"PRGL2,ATCA2,ARFI2","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"122",163,"Sandy",NA,NA,"PRGL2,LATR2,FLCE","shrub,shrub,shrub","ShrubInvadedGrassland",4,1,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"123",169,"Sandy",NA,NA,"PRGL2,SPORO,BOER4","shrub,PG,PG","ShrubInvadedGrassland",4,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"124",169,"Sandy",NA,NA,"PRGL2,SPORO,BOER4","shrub,PG,PG","Shrubland",6,2,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"125",176,"Sandy",NA,NA,"SCBR2,BOER4,FLCE","PG,PG,shrub","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"126",190,"Sandy",NA,NA,"SCBR2,PLMU3,FLCE","PG,PG,shrub","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"127",207,"Sandy",NA,NA,"SPORssp,FLCE,PLMU3","shrub,PG","ShrubInvadedGrassland",4,0,"4","ShrubInvadedGrassland","SPORO,ARIST,PRGL2","Sandy","R042XB012NM"
"128",12,"Sandy","Bottomland","Loamy","BOER4,ARIST,","PG,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"129",35,"Sandy","No ecosite"," ","FLCE,LATR2,ATCA2","shrub,shrub,shrub","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"130",50,"Sandy","Shallow sandy"," ","FLCE,LATR2,PRGL2","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"131",61,"Sandy"," "," ","FLCE,SCBR2,BOER4","shrub,PG,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"132",63,"Sandy"," "," ","FLCE,SCBR2,PLMU3","shrub,PG,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"133",64,"Sandy"," "," ","FLCE,SCBR2,SPAI","shrub,PG,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"134",86,"Sandy","Deep sand","Shallow sandy","HIMU,SCBR2,","PG,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"135",106,"Sandy","Shallow sandy"," ","LATR2,FLCE,PRGL2","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"136",120,"Sandy",NA,NA,"PLMU3,SCBR2,","PG,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"137",134,"Sandy",NA,NA,"PRGL2,ATCA2,ARFI2","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"138",163,"Sandy",NA,NA,"PRGL2,LATR2,FLCE","shrub,shrub,shrub","Shrubland",6,1,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"139",169,"Sandy",NA,NA,"PRGL2,SPORO,BOER4","shrub,PG,PG","Shrubland",6,1,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"140",184,"Sandy",NA,NA,"SCBR2,PLMU3,","PG,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
"141",207,"Sandy",NA,NA,"SPORssp,FLCE,PLMU3","shrub,PG","Shrubland",6,0,"6","Shrubland","PRGL2","Sandy","R042XB012NM"
