"SiteName","GeneralizedStateNumber","VegUnite"
"Gravelly",5,"LATR2,BOER4,PAIN2"
"Gravelly",6,"AG,LATR2,PRGL2"
"Gravelly",6,"LATR2,,NA"
"Gravelly",6,"LATR2,FLCE,MUPO2"
"Gravelly",6,"LATR2,FLCE,NA"
"Gyp upland",2,"SPORO,EPHEDRA,NA"
"Gyp upland",2,"SPORO,EPHEDRA,PRGL2"
"Limestone hills",6,"NA,NA,OPUNT"
"Loamy",1,"PLMU3,CYIMI,PRGL2"
"Loamy",1,"PLMU3,NA,NA"
"Loamy",1,"PLMU3,PRGL2,NA"
"Loamy",2,"NA,ATR12,NA"
"Loamy",2,"NA,NA,GUSA2"
"Loamy",2,"PLMU3,,NA"
"Loamy",2,"PLMU3,EPHEDRA,NA"
"Loamy",2,"PLMU3,SCBR2,FLCE"
"Loamy",2,"SCBR2,FLCE,KOSP"
"Loamy",2,"SCBR2,NA,NA"
"Loamy",2,"SCBR2,PLMU3,NA"
"Loamy",2,"SCBR2,PRGL2,NA"
"Loamy",4,"FLCE,MUPO2,SCBR2"
"Loamy",4,"NA,NA,PRGL2"
"Loamy",4,"PLMU3,FLCE,ATCA2"
"Loamy",4,"PLMU3,MUAR,FLCE"
"Loamy",4,"PLMU3,PRGL2,NA"
"Loamy",4,"PLMU3,SCBR2,FLCE"
"Loamy",4,"PLMU3,SCBR2,NA"
"Loamy",4,"SPORO,FLCE,PLMU3"
"Loamy",6,"NA,FLCE,NA"
"Loamy",7,"FLCE,LATR2,NA"
"Playette",2,"AG,ARPU9,PRGL2"
"Playette",4,"MUPO2,SPFL2,PRGL2"
"Playette",4,"PRGL2,ATCA2,SPFL2"
"Playette",6,"FLCE,LATR2,NA"
"Playette",6,"PRGL2,MUPO2,EPHEDRA"
"Sandy",1,"BOER4,PRGL2,SPCO4"
"Sandy",1,"BOER4,PRGL2,SPFL2"
"Sandy",1,"BOER4,PRGL2,SPORO"
"Sandy",1,"BOER4,PRGL2,YUEL"
"Sandy",1,"BOER4,SPFL2,PRGL2"
"Sandy",1,"BOER4,SPFL2,YUEL"
"Sandy",1,"NA,NA,PRGL2"
"Sandy",1,"PG,PRGL2,NA"
"Sandy",2,"AG,SPFL2,PRGL2"
"Sandy",2,"annuals,YUEL,PRGL2"
"Sandy",2,"ARPU9,EPHEDRA,PRGL2"
"Sandy",2,"BOER4,GUSA2,SPFL2"
"Sandy",2,"BOER4,PRGL2,NA"
"Sandy",2,"NA,EPHEDRA,NA"
"Sandy",2,"PRGL2,GUSA2,BOER4"
"Sandy",2,"PRGL2,NA,NA"
"Sandy",2,"PRGL2,SPFL2,"
"Sandy",2,"PRGL2,SPFL2,MUPO2"
"Sandy",2,"PRGL2,SPFL2,NA"
"Sandy",2,"PRGL2,SPORO,NA"
"Sandy",2,"SPFL2,,NA"
"Sandy",2,"SPFL2,ARPU9,NA"
"Sandy",2,"SPFL2,CYIMI,"
"Sandy",2,"SPFL2,GUSA2,PRGL2"
"Sandy",2,"SPFL2,PRGL2,SELE6"
"Sandy",2,"SPFL2,PRGL2,YUEL"
"Sandy",4,"BOER4,PRGL2,EPHEDRA"
"Sandy",4,"BOER4,PRGL2,SPFL2"
"Sandy",4,"BOER4,PRGL2,SPORO"
"Sandy",4,"BOER4,SPFL2,SPCO4"
"Sandy",4,"MUPO2,PRGL2,DAPU7"
"Sandy",4,"MUPO2,SPFL2,PRGL2"
"Sandy",4,"PRGL2,ARPU9,NA"
"Sandy",4,"PRGL2,ATCA2,SPFL2"
"Sandy",4,"PRGL2,GUSA2,SPORO"
"Sandy",4,"PRGL2,GUSA2,YUEL"
"Sandy",4,"PRGL2,MUPO2,GUSA2"
"Sandy",4,"PRGL2,MUPO2,LATR2"
"Sandy",4,"PRGL2,MUPO2,SPFL2"
"Sandy",4,"PRGL2,MUPO2,YUEL"
"Sandy",4,"PRGL2,NA,NA"
"Sandy",4,"PRGL2,SPFL2,ATCA2"
"Sandy",4,"PRGL2,SPFL2,DAPU7"
"Sandy",4,"PRGL2,SPFL2,MUPO2"
"Sandy",4,"PRGL2,SPFL2,NA"
"Sandy",4,"PRGL2,SPFL2,PF"
"Sandy",4,"PRGL2,SPFL2,SELE6"
"Sandy",4,"PRGL2,SPFL2,YUEL"
"Sandy",4,"SPFL2,ATCA2,PRGL2"
"Sandy",4,"SPFL2,PRGL2,BOER4"
"Sandy",4,"SPFL2,PRGL2,MUPO2"
"Sandy",4,"SPFL2,PRGL2,YUEL"
"Sandy",6,"LATR2,FLCE,NA"
"Sandy",6,"LATR2,PRGL2,MUPO2"
"Sandy",6,"LATR2,SPFL2,MUPO2"
"Sandy",6,"NA,EPHEDRA,NA"
"Sandy",6,"PRGL2,ATCA2,SPFL2"
"Sandy",6,"PRGL2,GUSA2,ATCA2"
"Sandy",6,"PRGL2,GUSA2,NA"
"Sandy",6,"PRGL2,GUSA2,SPFL2"
"Sandy",6,"PRGL2,MUPO2,NA"
"Sandy",6,"PRGL2,NA,NA"
"Sandy",6,"PRGL2,SPFL2,MUPO2"
"Sandy",6,"PRGL2,SPFL2,SELE6"
"Sandy",6,"PRGL2,SPORO,NA"
