"GeneralizedStateNumber","VegUnite"
6,"PRGL2,SPORO,NA"
7,"FLCE,LATR2,NA"
7,"PLMU3,FLCE,PRGL2"
7,"SCBR2,FLCE,NA"
7,"SCBR2,PLMU3,NA"
9,"ERLE,MUPO2,YUEL"
1,"BOER4,GUSA2,SPFL2"
1,"NA,NA,LACO13"
1,"PLMU3,EPHEDRA,NA"
1,"SCBR2,PLMU3,NA"
2,"BOER4,ARPU9,YUEL"
2,"BOER4,NA,NA"
2,"BOER4,PRGL2,EPHEDRA"
2,"BOER4,PRGL2,GUSA2"
2,"BOER4,PRGL2,PG"
2,"BOER4,PRGL2,SPCO4"
2,"BOER4,PRGL2,SPFL2"
2,"BOER4,PRGL2,SPORO"
2,"BOER4,PRGL2,YUEL"
2,"BOER4,SPFL2,PRGL2"
2,"BOER4,SPFL2,SPCO4"
2,"BOER4,SPFL2,YUEL"
2,"FLCE,LYBE,SCBR2"
2,"FLCE,MUPO2,SCBR2"
2,"LATR2,MUPO2,PLMU3"
2,"MUPO2,PRGL2,DAPU7"
2,"MUPO2,SPFL2,PRGL2"
2,"NA,     ,NA"
2,"NA,NA,PRGL2"
2,"PG,PRGL2,NA"
2,"PLMU3,CYIMI,NA"
2,"PLMU3,CYIMI,PRGL2"
2,"PLMU3,FLCE,ATCA2"
2,"PLMU3,FLCE,LATR2"
2,"PLMU3,FLCE,PRGL2"
2,"PLMU3,FLCE,SCBR2"
2,"PLMU3,MUAR,FLCE"
2,"PLMU3,NA,NA"
2,"PLMU3,PRGL2,NA"
2,"PLMU3,SCBR2,NA"
2,"PRGL2,ARPU9,NA"
2,"PRGL2,ATCA2,SPFL2"
2,"PRGL2,BOER4,DAPU7"
2,"PRGL2,GUSA2,NA"
2,"PRGL2,MUPO2,DAPU7"
2,"PRGL2,MUPO2,GUSA2"
2,"PRGL2,MUPO2,SPFL2"
2,"PRGL2,MUPO2,YUEL"
2,"PRGL2,PSSC6,MUPO2"
2,"PRGL2,SPFL2,DAPU7"
2,"PRGL2,SPFL2,PF"
2,"PRGL2,SPFL2,SELE6"
2,"PRGL2,SPFL2,YUEL"
2,"SCBR2,FLCE,NA"
2,"SCBR2,FLCE,PRGL2"
2,"SCBR2,PLMU3,LYBE"
2,"SPFL2,ATCA2,PRGL2"
2,"SPFL2,PRGL2,ATCA2"
2,"SPFL2,PRGL2,BOER4"
2,"SPFL2,PRGL2,MUPO2"
2,"SPFL2,PRGL2,NA"
2,"SPORO,FLCE,PLMU3"
4,"AG,ARPU9,PRGL2"
4,"AG,SPFL2,PRGL2"
4,"annuals,YUEL,PRGL2"
4,"ARPU9,EPHEDRA,PRGL2"
4,"BOER4,PRGL2,NA"
4,"ERLE,MUPO2,YUEL"
4,"FLCE,LATR2,NA"
4,"LATR2,FLCE,NA"
4,"LATR2,PRGL2,MUPO2"
4,"LATR2,SPFL2,MUPO2"
4,"NA,ATR12,NA"
4,"NA,EPHEDRA,NA"
4,"NA,FLCE,NA"
4,"NA,NA,GUSA2"
4,"PLMU3,FLCE,PRGL2"
4,"PLMU3,NA,NA"
4,"PRGL2,GUSA2,ATCA2"
4,"PRGL2,GUSA2,BOER4"
4,"PRGL2,GUSA2,SPFL2"
4,"PRGL2,MUPO2,EPHEDRA"
4,"PRGL2,MUPO2,NA"
4,"PRGL2,SPFL2,"
4,"PRGL2,SPORO,NA"
4,"SCBR2,FLCE,KOSP"
4,"SCBR2,FLCE,PLMU3"
4,"SCBR2,PLMU3,PRGL2"
4,"SCBR2,PRGL2,EPHEDRA"
4,"SCBR2,PRGL2,NA"
4,"SPFL2,,NA"
4,"SPFL2,ARPU9,NA"
4,"SPFL2,CYIMI,"
4,"SPFL2,GUSA2,PRGL2"
4,"SPFL2,PRGL2,SELE6"
4,"SPORO,EPHEDRA,NA"
4,"SPORO,EPHEDRA,PRGL2"
5,"AG,LATR2,PRGL2"
5,"LATR2,,NA"
5,"LATR2,FLCE,MUPO2"
5,"LATR2,FLCE,NA"
5,"NA,NA,OPUNT"
6,"LATR2,BOER4,PAIN2"
6,"MUPO2,SPFL2,PRGL2"
6,"NA,SPORO,NA"
6,"PLMU3,FLCE,MUAR"
6,"PRGL2,GUSA2,SPORO"
6,"PRGL2,GUSA2,YUEL"
6,"PRGL2,MUPO2,LATR2"
6,"PRGL2,SPFL2,ATCA2"
6,"PRGL2,SPFL2,YUEL"
6,"SPFL2,PRGL2,MUPO2"
6,"SPFL2,PRGL2,YUEL"
7,"PLMU3,,NA"
7,"PLMU3,SCBR2,FLCE"
7,"PRGL2,ATCA2,SPORO"
7,"PRGL2,BOER4,PF"
7,"SCBR2,FLCE,PLMU3"
7,"SCBR2,NA,NA"
7,"SCBR2,PLMU3,FLCE"
7,"SPORO,EPHEDRA,NA"
0,"AG,LATR2,PRGL2"
0,"AG,SPFL2,PRGL2"
0,"annuals,YUEL,PRGL2"
0,"ARPU9,EPHEDRA,PRGL2"
0,"LATR2,,NA"
0,"LATR2,BOER4,PAIN2"
0,"LATR2,FLCE,MUPO2"
0,"LATR2,FLCE,NA"
0,"LATR2,PRGL2,MUPO2"
0,"MUPO2,PRGL2,DAPU7"
0,"NA,FLCE,NA"
0,"NA,NA,OPUNT"
0,"NA,NA,PRGL2"
0,"PLMU3,PRGL2,NA"
0,"PRGL2,ATCA2,SPORO"
0,"PRGL2,GUSA2,ATCA2"
0,"PRGL2,GUSA2,SPFL2"
0,"PRGL2,MUPO2,GUSA2"
0,"PRGL2,MUPO2,NA"
0,"PRGL2,MUPO2,SPFL2"
0,"PRGL2,SPFL2,"
0,"PRGL2,SPFL2,DAPU7"
0,"PRGL2,SPFL2,MUPO2"
0,"PRGL2,SPFL2,NA"
0,"PRGL2,SPFL2,PF"
0,"PRGL2,SPFL2,YUEL"
0,"PRGL2,SPORO,NA"
0,"SPFL2,,NA"
0,"SPFL2,PRGL2,MUPO2"
0,"SPFL2,PRGL2,YUEL"
