"","ecosite"
"1","Playette"
"2","Sandy"
"3","Draw"
"4","Shallow sandy"
"5","Deep sand"
"6","Limestone hills"
"7","Drainage"
"8","Gravelly"
"9","Loamy"
"10","Clayey"
"11","Hills"
"12","Tank"
"13","Bottomland"
"14","Gyp upland"
"15","Playa"
"16","Road"
