OBJECTID,FID_JERVeg,VegUnite,ecosite1,ecosite2,ecosite3,StateNumber,StateName,GeneralizedStateNumber,FinalEcosite,GeneralizedStateName
149,68,"PRGL2,GUSA2,ARFI2",Limestone hills,NA,NA,2,Shrub-succulent,6,,Shrubland
158,72,"PRGL2,GUSA2,LATR2",Limestone hills,NA,NA,2,Shrub-succulent,6,,Shrubland
24,13,"BOER4,EPHspp,LATR2",Rock land,Shallow sandy, ,1,Grassland/succulent,3,Rock land,ShrubSavanna
113,53,"LATR2,PRGL2,BOER4",Rock land,NA,NA,2,Shrub-succulent,6,Rock land,Shrubland
2,1,"ARFI2,GUSA2,",Sandy,Limy,Salt Flats,4,Shrubland,6,,Shrubland
22,12,"BOER4,ARIST,YUEL",Sandy,Shallow sandy, ,1,BlackGramaGrassland,1,Sandy,Grassland
30,18,"BOER4,YUEL,ARIST",Sandy,Shallow sandy,Shallow sandy,1,BlackGramaGrassland,1,Sandy,Grassland
34,20,"EPHspp,PLMU3,GUSA2",Sandy,No ecosite, ,2,MesquiteInvaded,4,,ShrubInvadedGrassland
52,25,"FLCE,LATR2,SCBR2",Sandy,Shallow sandy, ,3,Bunchgrass/Mesquite,4,,ShrubInvadedGrassland
55,26,"FLCE,LATR2,SPORO",Sandy,No ecosite, ,3,Bunchgrass/Mesquite,4,,ShrubInvadedGrassland
58,27,"FLCE,PRGL2,SCBR2",Sandy, , ,3,Bunchgrass/Mesquite,4,,ShrubInvadedGrassland
65,31,"GUSA2,BOER4,ARIST",Sandy, , ,2,MesquiteInvaded,4,Sandy,ShrubInvadedGrassland
68,33,"GUSA2,PLMU3,ARIST",Sandy, , ,2,MesquiteInvaded,4,Sandy,ShrubInvadedGrassland
69,34,"GUSA2,PLMU3,SCBR2",Sandy, , ,2,MesquiteInvaded,4,Sandy,ShrubInvadedGrassland
72,35,"GUSA2,PRGL2,",Sandy,Deep sand, ,4,Shrubland,6,Sandy,Shrubland
81,38,"GUSA2,PRGL2,PSSC6",Sandy,Deep sand,Shallow sandy,4,Shrubland,6,Sandy,Shrubland
82,39,"GUSA2,PRGL2,SCBR2",Sandy,Deep sand,Shallow sandy,3,Bunchgrass/Mesquite,4,Sandy,ShrubInvadedGrassland
84,41,"GUSA2,YUEL,",Sandy,Deep sand,Shallow sandy,4,Shrubland,6,Sandy,Shrubland
88,43,"HOFF spp.,Bare,",Sandy,Loamy,Clayey,,Bare,7,Clayey,Bare
111,52,"LATR2,GUSA2,ARFI2",Sandy,Sandy, ,4,Shrubland,6,Sandy,Shrubland
118,54,"PLMU3,FLCE,LATR2",Sandy,NA,NA,3,Bunchgrass/Mesquite,4,Sandy,ShrubInvadedGrassland
126,60,"PRGL2,ARFI2,EPHspp",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
130,61,"PRGL2,ARFI2,GUSA2",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
137,64,"PRGL2,ATCA2,GUSA2",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
140,65,"PRGL2,ATCA2,YUEL",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
