FID,Shape *,OBJECTID,FID_JERVeg,ZST_DOM,ZND_DOM,ZRD_DOM,SUM_Shape_,FID_JER_Ec,ecosite1,SUM_Shape1,Shape_Leng,Shape_Area
54,Polygon,55,26,FLCE,LATR,SPORspp,27755687.31,11,Sandy,368111095.6,54059.51501,24539993.85
55,Polygon,56,27,FLCE,PRGL,SCBR,3019747.967,1,Bottomland,35299777.56,663.184068,17560.9365
56,Polygon,57,27,FLCE,PRGL,SCBR,3019747.967,3,Deep sand,119701060,9769.076766,1222689.373
57,Polygon,58,27,FLCE,PRGL,SCBR,3019747.967,11,Sandy,368111095.6,9625.887331,1779497.657
58,Polygon,59,28,FLCE,SCBR,BOER,13714810.36,2,Clayey,13244532.45,15484.35312,4117839.357
59,Polygon,60,28,FLCE,SCBR,BOER,13714810.36,5,Gravelly,53527326.23,10655.80093,1860068.064
60,Polygon,61,28,FLCE,SCBR,BOER,13714810.36,11,Sandy,368111095.6,27713.95014,7721387.554
61,Polygon,62,29,FLCE,SCBR,PLMU,1125246.968,1,Bottomland,35299777.56,4580.18485,318217.4187
62,Polygon,63,29,FLCE,SCBR,PLMU,1125246.968,11,Sandy,368111095.6,9341.558588,807029.5484
63,Polygon,64,30,FLCE,SCBR,SPAI,368122.4209,11,Sandy,368111095.6,2387.929542,368122.4209
64,Polygon,65,31,GUSA,BOER,ARISTspp,2096500.045,11,Sandy,368111095.6,13834.66397,2096500.045
65,Polygon,66,32,GUSA,BOER,PRGL,4473077.676,11,Sandy,368111095.6,24862.47881,4440827.829
66,Polygon,67,32,GUSA,BOER,PRGL,4473077.676,13,Shallow sandy,25426676.89,855.52268,32249.84852
67,Polygon,68,33,GUSA,PLMU,ARISTspp,465851.4336,11,Sandy,368111095.6,3788.525296,465851.4336
68,Polygon,69,34,GUSA,PLMU,SCBR,2029427.177,11,Sandy,368111095.6,12968.22098,2022921.257
69,Polygon,70,34,GUSA,PLMU,SCBR,2029427.177,13,Shallow sandy,25426676.89,396.174126,6505.920089
70,Polygon,71,35,GUSA,PRGL, ,11579984.25,3,Deep sand,119701060,22663.31387,6738772.888
71,Polygon,72,35,GUSA,PRGL, ,11579984.25,11,Sandy,368111095.6,34725.34664,4841211.367
72,Polygon,73,36,GUSA,PRGL,ARISTspp,1334183.744,3,Deep sand,119701060,781.422197,24586.82895
73,Polygon,74,36,GUSA,PRGL,ARISTspp,1334183.744,11,Sandy,368111095.6,8729.909955,821311.132
74,Polygon,75,36,GUSA,PRGL,ARISTspp,1334183.744,13,Shallow sandy,25426676.89,5426.061113,487078.383
75,Polygon,76,37,GUSA,PRGL,BOER,3748435.182,3,Deep sand,119701060,4430.075669,505609.7168
76,Polygon,77,37,GUSA,PRGL,BOER,3748435.182,7,Limestone hills,125520706.8,1188.399233,47994.91033
77,Polygon,78,37,GUSA,PRGL,BOER,3748435.182,11,Sandy,368111095.6,18171.05621,3194830.554
78,Polygon,79,38,GUSA,PRGL,PSSC,7463668.02,2,Clayey,13244532.45,391.739326,6629.310459
79,Polygon,80,38,GUSA,PRGL,PSSC,7463668.02,3,Deep sand,119701060,10342.90304,2518102.229
80,Polygon,81,38,GUSA,PRGL,PSSC,7463668.02,11,Sandy,368111095.6,22658.43615,4938936.481
81,Polygon,82,39,GUSA,PRGL,SCBR,519059.7181,11,Sandy,368111095.6,4635.467071,519059.7181
82,Polygon,83,40,GUSA,PRGL,SPORspp,445552.8774,11,Sandy,368111095.6,3206.750074,445552.8774
83,Polygon,84,41,GUSA,YUEL, ,1526831.992,11,Sandy,368111095.6,6288.300067,1526831.992
84,Polygon,85,42,HIMU,SCBR, ,868768.2826,2,Clayey,13244532.45,3858.099725,638008.9643
85,Polygon,86,42,HIMU,SCBR, ,868768.2826,11,Sandy,368111095.6,2900.561903,229934.6338
86,Polygon,87,43,HOFFspp,NO GRASS, ,596936.4658,2,Clayey,13244532.45,4200.581447,572573.6392
87,Polygon,88,43,HOFFspp,NO GRASS, ,596936.4658,11,Sandy,368111095.6,1076.973719,24362.82573
88,Polygon,89,45,LATR,DAPU, ,182033.8421,1,Bottomland,35299777.56,2310.162933,182033.8421
89,Polygon,90,46,LATR,FLCE,ACBR,202721.8321,3,Deep sand,119701060,1830.456952,202721.8321
90,Polygon,91,47,LATR,FLCE,BOER,4864381.891,1,Bottomland,35299777.56,15918.57128,2205341.911
91,Polygon,92,47,LATR,FLCE,BOER,4864381.891,5,Gravelly,53527326.23,5674.735044,770963.9741
92,Polygon,93,47,LATR,FLCE,BOER,4864381.891,8,Loamy,15362815.09,4328.772202,140072.5585
93,Polygon,94,47,LATR,FLCE,BOER,4864381.891,11,Sandy,368111095.6,8815.498353,1748003.45
94,Polygon,95,48,LATR,FLCE,DAPU,245869.6369,11,Sandy,368111095.6,4375.465985,245869.6369
95,Polygon,96,49,LATR,FLCE,GUSA,6012665.439,1,Bottomland,35299777.56,10581.61528,1317807.53
96,Polygon,97,49,LATR,FLCE,GUSA,6012665.439,3,Deep sand,119701060,5275.165337,621875.4876
97,Polygon,98,49,LATR,FLCE,GUSA,6012665.439,5,Gravelly,53527326.23,7734.499513,3246417.145
98,Polygon,99,49,LATR,FLCE,GUSA,6012665.439,8,Loamy,15362815.09,10259.21951,697242.7771
99,Polygon,100,49,LATR,FLCE,GUSA,6012665.439,11,Sandy,368111095.6,1536.1926,129322.5287
100,Polygon,101,50,LATR,FLCE,PRGL,10935274.86,1,Bottomland,35299777.56,38779.71305,1650961.489
101,Polygon,102,50,LATR,FLCE,PRGL,10935274.86,3,Deep sand,119701060,6541.648452,583091.4532
102,Polygon,103,50,LATR,FLCE,PRGL,10935274.86,4,Draw,6092080.685,3252.169698,105380.2395
103,Polygon,104,50,LATR,FLCE,PRGL,10935274.86,5,Gravelly,53527326.23,17698.39977,2465526.252
104,Polygon,105,50,LATR,FLCE,PRGL,10935274.86,8,Loamy,15362815.09,24465.3221,705486.1233
105,Polygon,106,50,LATR,FLCE,PRGL,10935274.86,11,Sandy,368111095.6,22973.29523,5424829.261
106,Polygon,107,51,LATR,FLCE,SCBR,1473786.837,3,Deep sand,119701060,12574.13755,656249.9421
107,Polygon,108,51,LATR,FLCE,SCBR,1473786.837,4,Draw,6092080.685,1758.613623,40185.69051
108,Polygon,109,51,LATR,FLCE,SCBR,1473786.837,5,Gravelly,53527326.23,4423.00216,425903.3016
109,Polygon,110,51,LATR,FLCE,SCBR,1473786.837,7,Limestone hills,125520706.8,5357.729745,351447.8748
110,Polygon,111,52,LATR,GUSA,ARFI,160021.231,11,Sandy,368111095.6,2244.516463,160021.231
111,Polygon,112,53,LATR,PRGL,BOER,22972654.81,5,Gravelly,53527326.23,21889.2006,4126858.974
112,Polygon,113,53,LATR,PRGL,BOER,22972654.81,9,Rock land,738872.7837,5531.584746,382605.837
113,Polygon,114,53,LATR,PRGL,BOER,22972654.81,11,Sandy,368111095.6,2182.570997,99245.697
114,Polygon,115,54,PLMU,FLCE,LATR,1126642.986,1,Bottomland,35299777.56,7667.576146,480036.0278
115,Polygon,116,54,PLMU,FLCE,LATR,1126642.986,5,Gravelly,53527326.23,5004.147051,368936.36
116,Polygon,117,54,PLMU,FLCE,LATR,1126642.986,8,Loamy,15362815.09,222.400939,1032.328286
117,Polygon,118,54,PLMU,FLCE,LATR,1126642.986,11,Sandy,368111095.6,4192.790407,276638.2674
118,Polygon,119,55,PLMU,SCBR, ,15054596.24,2,Clayey,13244532.45,25082.90748,4237429.293
119,Polygon,120,55,PLMU,SCBR, ,15054596.24,11,Sandy,368111095.6,66627.69816,10817166.95
120,Polygon,121,56,PLMU,SCBR,MUAR,1867215.958,2,Clayey,13244532.45,771.578478,28638.94169
121,Polygon,122,56,PLMU,SCBR,MUAR,1867215.958,11,Sandy,368111095.6,9702.035659,1838577.017
122,Polygon,123,57,PLMU,SCBR,MUARE,3803893.032,11,Sandy,368111095.6,18932.92079,3803893.032
