OBJECTID,VegUnite,GeneralizedStateNumber,ecosite1,ecosite2,ecosite3,FID,Shape..,FID_JERVeg,SUM_Shape_,FID_JER_Ec,SUM_Shape1,Shape_Leng,Shape_Area
45,"FLCE,LATR2,PRGL2",6,Deep sand,No ecosite, ,44,Polygon,24,74250594.14,3,119701060,77507.06291,16567526.54
46,"FLCE,LATR2,PRGL2",6,Draw,No ecosite, ,45,Polygon,24,74250594.14,4,6092080.685,6803.341759,205846.2222
47,"FLCE,LATR2,PRGL2",5,Gravelly,Shallow sandy, ,46,Polygon,24,74250594.14,5,53527326.23,25093.15175,1814554.575
48,"FLCE,LATR2,PRGL2",6,Limestone hills,Shallow sandy, ,47,Polygon,24,74250594.14,7,125520706.8,8807.674625,1223702.994
49,"FLCE,LATR2,PRGL2",4,Loamy,Shallow sandy, ,48,Polygon,24,74250594.14,8,15362815.09,52182.27807,4070928.822
50,"FLCE,LATR2,PRGL2",6,Sandy,Shallow sandy, ,49,Polygon,24,74250594.14,11,368111095.6,113855.4093,35291547.44
51,"FLCE,LATR2,SCBR2",3,Deep sand,Shallow sandy, ,50,Polygon,25,1860310.575,3,119701060,6562.564051,769642.5658
52,"FLCE,LATR2,SCBR2",4,Sandy,Shallow sandy, ,51,Polygon,25,1860310.575,11,368111095.6,7238.545458,1090668.009
53,"FLCE,LATR2,SPORO",4,Draw,Shallow sandy, ,52,Polygon,26,27755687.31,4,6092080.685,5526.765664,151870.5168
54,"FLCE,LATR2,SPORO",5,Gravelly,No ecosite, ,53,Polygon,26,27755687.31,5,53527326.23,24112.2192,2347218.889
55,"FLCE,LATR2,SPORO",4,Sandy,No ecosite, ,54,Polygon,26,27755687.31,11,368111095.6,54059.51501,24539993.85
56,"FLCE,PRGL2,SCBR2",4,Bottomland,No ecosite, ,55,Polygon,27,3019747.967,1,35299777.56,663.184068,17560.9365
57,"FLCE,PRGL2,SCBR2",3,Deep sand,No ecosite, ,56,Polygon,27,3019747.967,3,119701060,9769.076766,1222689.373
58,"FLCE,PRGL2,SCBR2",4,Sandy, , ,57,Polygon,27,3019747.967,11,368111095.6,9625.887331,1779497.657
59,"FLCE,SCBR2,BOER4",4,Clayey, , ,58,Polygon,28,13714810.36,2,13244532.45,15484.35312,4117839.357
60,"FLCE,SCBR2,BOER4",3,Gravelly, , ,59,Polygon,28,13714810.36,5,53527326.23,10655.80093,1860068.064
61,"FLCE,SCBR2,BOER4",3,Sandy, , ,60,Polygon,28,13714810.36,11,368111095.6,27713.95014,7721387.554
62,"FLCE,SCBR2,PLMU3",3,Bottomland, , ,61,Polygon,29,1125246.968,1,35299777.56,4580.18485,318217.4187
63,"FLCE,SCBR2,PLMU3",3,Sandy, , ,62,Polygon,29,1125246.968,11,368111095.6,9341.558588,807029.5484
64,"FLCE,SCBR2,SPAI",3,Sandy, , ,63,Polygon,30,368122.4209,11,368111095.6,2387.929542,368122.4209
65,"GUSA2,BOER4,ARIST",4,Sandy, , ,64,Polygon,31,2096500.045,11,368111095.6,13834.66397,2096500.045
66,"GUSA2,BOER4,PRGL2",4,Sandy, , ,65,Polygon,32,4473077.676,11,368111095.6,24862.47881,4440827.829
67,"GUSA2,BOER4,PRGL2",4,Shallow sandy, , ,66,Polygon,32,4473077.676,13,25426676.89,855.52268,32249.84852
68,"GUSA2,PLMU3,ARIST",4,Sandy, , ,67,Polygon,33,465851.4336,11,368111095.6,3788.525296,465851.4336
69,"GUSA2,PLMU3,SCBR2",4,Sandy, , ,68,Polygon,34,2029427.177,11,368111095.6,12968.22098,2022921.257
70,"GUSA2,PLMU3,SCBR2",2,Shallow sandy,Deep sand, ,69,Polygon,34,2029427.177,13,25426676.89,396.174126,6505.920089
71,"GUSA2,PRGL2,",6,Deep sand,Deep sand, ,70,Polygon,35,11579984.25,3,119701060,22663.31387,6738772.888
72,"GUSA2,PRGL2,",6,Sandy,Deep sand, ,71,Polygon,35,11579984.25,11,368111095.6,34725.34664,4841211.367
73,"GUSA2,PRGL2,ARIST",3,Deep sand,Deep sand, ,72,Polygon,36,1334183.744,3,119701060,781.422197,24586.82895
74,"GUSA2,PRGL2,ARIST",4,Sandy,Deep sand, ,73,Polygon,36,1334183.744,11,368111095.6,8729.909955,821311.132
75,"GUSA2,PRGL2,ARIST",4,Shallow sandy,Deep sand, ,74,Polygon,36,1334183.744,13,25426676.89,5426.061113,487078.383
76,"GUSA2,PRGL2,BOER4",3,Deep sand,Deep sand, ,75,Polygon,37,3748435.182,3,119701060,4430.075669,505609.7168
77,"GUSA2,PRGL2,BOER4",6,Limestone hills,Deep sand, ,76,Polygon,37,3748435.182,7,125520706.8,1188.399233,47994.91033
78,"GUSA2,PRGL2,BOER4",4,Sandy,Deep sand, ,77,Polygon,37,3748435.182,11,368111095.6,18171.05621,3194830.554
79,"GUSA2,PRGL2,PSSC6",6,Clayey,Deep sand, ,78,Polygon,38,7463668.02,2,13244532.45,391.739326,6629.310459
80,"GUSA2,PRGL2,PSSC6",6,Deep sand,Deep sand, ,79,Polygon,38,7463668.02,3,119701060,10342.90304,2518102.229
81,"GUSA2,PRGL2,PSSC6",6,Sandy,Deep sand,Shallow sandy,80,Polygon,38,7463668.02,11,368111095.6,22658.43615,4938936.481
82,"GUSA2,PRGL2,SCBR2",4,Sandy,Deep sand,Shallow sandy,81,Polygon,39,519059.7181,11,368111095.6,4635.467071,519059.7181
83,"GUSA2,PRGL2,SPORO",4,Sandy,Deep sand,Shallow sandy,82,Polygon,40,445552.8774,11,368111095.6,3206.750074,445552.8774
84,"GUSA2,YUEL,",6,Sandy,Deep sand,Shallow sandy,83,Polygon,41,1526831.992,11,368111095.6,6288.300067,1526831.992
85,"HIMU,SCBR2,",2,Clayey,Deep sand,Shallow sandy,84,Polygon,42,868768.2826,2,13244532.45,3858.099725,638008.9643
86,"HIMU,SCBR2,",2,Sandy,Deep sand,Shallow sandy,85,Polygon,42,868768.2826,11,368111095.6,2900.561903,229934.6338
87,"HOFF spp.,Bare,",7,Clayey,Loamy,Clayey,86,Polygon,43,596936.4658,2,13244532.45,4200.581447,572573.6392
88,"HOFF spp.,Bare,",7,Sandy,Loamy,Clayey,87,Polygon,43,596936.4658,11,368111095.6,1076.973719,24362.82573
89,"LATR2,DAPU7,",4,Bottomland,Loamy,Clayey,88,Polygon,45,182033.8421,1,35299777.56,2310.162933,182033.8421
90,"LATR2,FLCE,ACBR",4,Deep sand,Loamy,Deep sand,89,Polygon,46,202721.8321,3,119701060,1830.456952,202721.8321
91,"LATR2,FLCE,BOER4",4,Bottomland,Loamy,Deep sand,90,Polygon,47,4864381.891,1,35299777.56,15918.57128,2205341.911
92,"LATR2,FLCE,BOER4",5,Gravelly,Loamy,Deep sand,91,Polygon,47,4864381.891,5,53527326.23,5674.735044,770963.9741
93,"LATR2,FLCE,BOER4",4,Loamy,Loamy,Deep sand,92,Polygon,47,4864381.891,8,15362815.09,4328.772202,140072.5585
94,"LATR2,FLCE,BOER4",4,Sandy,Loamy,Deep sand,93,Polygon,47,4864381.891,11,368111095.6,8815.498353,1748003.45
95,"LATR2,FLCE,DAPU7",6,Sandy,Loamy,Deep sand,94,Polygon,48,245869.6369,11,368111095.6,4375.465985,245869.6369
96,"LATR2,FLCE,GUSA2",6,Bottomland,Loamy,Deep sand,95,Polygon,49,6012665.439,1,35299777.56,10581.61528,1317807.53
97,"LATR2,FLCE,GUSA2",6,Deep sand,Loamy,Deep sand,96,Polygon,49,6012665.439,3,119701060,5275.165337,621875.4876
98,"LATR2,FLCE,GUSA2",5,Gravelly,Loamy,Deep sand,97,Polygon,49,6012665.439,5,53527326.23,7734.499513,3246417.145
99,"LATR2,FLCE,GUSA2",6,Loamy,Loamy,Deep sand,98,Polygon,49,6012665.439,8,15362815.09,10259.21951,697242.7771
100,"LATR2,FLCE,GUSA2",6,Sandy,Loamy,Deep sand,99,Polygon,49,6012665.439,11,368111095.6,1536.1926,129322.5287
101,"LATR2,FLCE,PRGL2",6,Bottomland,Loamy,Deep sand,100,Polygon,50,10935274.86,1,35299777.56,38779.71305,1650961.489
102,"LATR2,FLCE,PRGL2",6,Deep sand,Shallow sandy, ,101,Polygon,50,10935274.86,3,119701060,6541.648452,583091.4532
103,"LATR2,FLCE,PRGL2",6,Draw,Shallow sandy, ,102,Polygon,50,10935274.86,4,6092080.685,3252.169698,105380.2395
104,"LATR2,FLCE,PRGL2",5,Gravelly,Shallow sandy, ,103,Polygon,50,10935274.86,5,53527326.23,17698.39977,2465526.252
105,"LATR2,FLCE,PRGL2",6,Loamy,Shallow sandy, ,104,Polygon,50,10935274.86,8,15362815.09,24465.3221,705486.1233
106,"LATR2,FLCE,PRGL2",6,Sandy,Shallow sandy, ,105,Polygon,50,10935274.86,11,368111095.6,22973.29523,5424829.261
107,"LATR2,FLCE,SCBR2",3,Deep sand,Deep sand, ,106,Polygon,51,1473786.837,3,119701060,12574.13755,656249.9421
108,"LATR2,FLCE,SCBR2",4,Draw,Deep sand, ,107,Polygon,51,1473786.837,4,6092080.685,1758.613623,40185.69051
109,"LATR2,FLCE,SCBR2",5,Gravelly,Sandy, ,108,Polygon,51,1473786.837,5,53527326.23,4423.00216,425903.3016
