OBJECTID,VegUnite,GeneralizedStateNumber,ecosite1,ecosite2,ecosite3,FID,Shape..,FID_JERVeg,SUM_Shape_,FID_JER_Ec,SUM_Shape1,Shape_Leng,Shape_Area
198,"SCBR2,PLMU3,SPAI",2,Sandy,NA,NA,197,Polygon,93,3162058.12,11,368111095.6,17234.64151,1963934.488
199,"SCBR2,SPAI,GUSA2",4,Sandy,NA,NA,198,Polygon,94,1012249.058,11,368111095.6,5105.867568,1012249.058
200,"SCBR2,SPAI,PLMU3",2,Bottomland,NA,NA,199,Polygon,95,1243670.404,1,35299777.56,6345.961964,751287.8572
201,"SCBR2,SPAI,PLMU3",2,Gravelly,NA,NA,200,Polygon,95,1243670.404,5,53527326.23,792.894353,45921.84021
202,"SCBR2,SPAI,PLMU3",2,Loamy,NA,NA,201,Polygon,95,1243670.404,8,15362815.09,1500.860859,84441.99207
203,"SCBR2,SPAI,PLMU3",2,Sandy,NA,NA,202,Polygon,95,1243670.404,11,368111095.6,3140.277592,362018.7164
204,"SCBR2,SPORO,BOER4",2,Sandy,NA,NA,203,Polygon,96,1671713.273,11,368111095.6,8275.456091,1671713.273
205,"SPORssp,FLCE,PLMU3",2,Bottomland,NA,NA,204,Polygon,97,679058.4573,1,35299777.56,3385.133351,336107.5291
206,"SPORssp,FLCE,PLMU3",2,Gravelly,NA,NA,205,Polygon,97,679058.4573,5,53527326.23,4042.946766,305052.2296
207,"SPORssp,FLCE,PLMU3",2,Sandy,NA,NA,206,Polygon,97,679058.4573,11,368111095.6,906.620741,37898.69845
