"FID","Shape..","OBJECTID","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG","Dom2FG","Dom3FG"
"43","Polygon","44","25","FLCE","PLMU3"," ","293183.9004","11","Sandy","368111095.6","2773.41851","223299.5483","shrub","PG",NA
"44","Polygon","45","26","FLCE","PLMU3","PRGL2","101920.8984","11","Sandy","368111095.6","2094.41451","101920.8984","shrub","PG","shrub"
"45","Polygon","46","27","FLCE","PLMU3","PRGL2","1053634.346","1","Bottomland","35299777.56","4801.521843","724499.7229","shrub","PG","shrub"
"46","Polygon","47","27","FLCE","PLMU3","PRGL2","1053634.346","5","Gravelly","53527326.23","779.206181","11000.72103","shrub","PG","shrub"
"47","Polygon","48","27","FLCE","PLMU3","PRGL2","1053634.346","11","Sandy","368111095.6","4436.508269","318133.9024","shrub","PG","shrub"
"48","Polygon","49","28","FLCE","PLMU3","SCBR2","7147095.878","2","Clayey","13244532.45","11733.79968","2840774.326","shrub","PG","PG"
"49","Polygon","50","28","FLCE","PLMU3","SCBR2","7147095.878","11","Sandy","368111095.6","24478.25781","4295261.799","shrub","PG","PG"
"50","Polygon","51","29","FLCE","PLMU3","SPAI","6405086.61","11","Sandy","368111095.6","13573.13107","6393445.616","shrub","PG","PG"
"51","Polygon","52","30","FLCE","PRGL2","PLMU3","82068.72888","11","Sandy","368111095.6","1667.93307","82068.72888","shrub","shrub","PG"
"52","Polygon","53","31","FLCE","PRGL2","SCBR2","523709.4407","11","Sandy","368111095.6","4760.17132","523709.4407","shrub","shrub","PG"
"53","Polygon","54","32","FLCE","SCBR2"," ","97830.09883","2","Clayey","13244532.45","728.121018","19676.13181","shrub","PG",NA
"54","Polygon","55","32","FLCE","SCBR2"," ","97830.09883","11","Sandy","368111095.6","1632.843461","78153.96739","shrub","PG",NA
