"FID","Shape..","OBJECTID","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG","Dom2FG","Dom3FG"
"190","Polygon","191","100","PRGL2","YUEL","SPFL2","6825353.19","13","Shallow sandy","25426676.89","4162.658987","603914.5118","shrub","succulent","PG"
"191","Polygon","192","101","PRGL2"," "," ","57616084.18","2","Clayey","13244532.45","4059.916344","228940.3313","shrub",NA,NA
"192","Polygon","193","101","PRGL2"," "," ","57616084.18","3","Deep sand","119701060","40740.81229","10972897.03","shrub",NA,NA
"193","Polygon","194","101","PRGL2"," "," ","57616084.18","4","Draw","6092080.685","606.551328","5690.666257","shrub",NA,NA
"194","Polygon","195","101","PRGL2"," "," ","57616084.18","11","Sandy","368111095.6","112430.368","46197534.16","shrub",NA,NA
"195","Polygon","196","101","PRGL2"," "," ","57616084.18","13","Shallow sandy","25426676.89","2482.096229","210262.3409","shrub",NA,NA
"196","Polygon","197","102","PRGL2","ARFI2","ATCA2","1621466.198","3","Deep sand","119701060","11513.78585","1205963.432","shrub","shrub","shrub"
"197","Polygon","198","102","PRGL2","ARFI2","ATCA2","1621466.198","4","Draw","6092080.685","2233.232817","74463.34966","shrub","shrub","shrub"
"198","Polygon","199","102","PRGL2","ARFI2","ATCA2","1621466.198","5","Gravelly","53527326.23","1400.858766","8611.810302","shrub","shrub","shrub"
"199","Polygon","200","102","PRGL2","ARFI2","ATCA2","1621466.198","7","Limestone hills","125520706.8","6203.439781","332427.6076","shrub","shrub","shrub"
"200","Polygon","201","103","PRGL2","ARFI2","QUERCUS","4103591.474","3","Deep sand","119701060","28596.24335","3358987.622","shrub","shrub","shrub"
"201","Polygon","202","103","PRGL2","ARFI2","QUERCUS","4103591.474","4","Draw","6092080.685","8355.736883","272860.5063","shrub","shrub","shrub"
"202","Polygon","203","103","PRGL2","ARFI2","QUERCUS","4103591.474","5","Gravelly","53527326.23","8121.445284","116492.4041","shrub","shrub","shrub"
"203","Polygon","204","103","PRGL2","ARFI2","QUERCUS","4103591.474","7","Limestone hills","125520706.8","13789.88766","355250.9301","shrub","shrub","shrub"
"204","Polygon","205","104","PRGL2","ARFI2","SPFL2","508125.8644","3","Deep sand","119701060","3604.814802","490245.412","shrub","shrub","PG"
"205","Polygon","206","104","PRGL2","ARFI2","SPFL2","508125.8644","7","Limestone hills","125520706.8","880.478173","17880.45046","shrub","shrub","PG"
"206","Polygon","207","105","PRGL2","ARPU9"," ","7035118.013","3","Deep sand","119701060","8018.060493","3415992.652","shrub","PG",NA
"207","Polygon","208","105","PRGL2","ARPU9"," ","7035118.013","11","Sandy","368111095.6","11081.00424","3619125.361","shrub","PG",NA
"208","Polygon","209","106","PRGL2","ARPU9","GUSA2","633644.9683","11","Sandy","368111095.6","3481.853878","633644.9683","shrub","PG","subshrub"
"209","Polygon","210","107","PRGL2","ATCA2"," ","9995894.241","11","Sandy","368111095.6","21457.75464","7369939.164","shrub","shrub",NA
"210","Polygon","211","107","PRGL2","ATCA2"," ","9995894.241","13","Shallow sandy","25426676.89","11314.60605","2625955.078","shrub","shrub",NA
"211","Polygon","212","108","PRGL2","ATCA2","FLCE","1867270.281","11","Sandy","368111095.6","12857.26403","1860256.427","shrub","shrub","shrub"
"212","Polygon","213","108","PRGL2","ATCA2","FLCE","1867270.281","13","Shallow sandy","25426676.89","423.901023","7013.853676","shrub","shrub","shrub"
"213","Polygon","214","109","PRGL2","ATCA2","GUSA2","6681452.926","3","Deep sand","119701060","12629.51229","1840776.833","shrub","shrub","subshrub"
"214","Polygon","215","109","PRGL2","ATCA2","GUSA2","6681452.926","4","Draw","6092080.685","2478.619348","123489.4675","shrub","shrub","subshrub"
"215","Polygon","216","109","PRGL2","ATCA2","GUSA2","6681452.926","7","Limestone hills","125520706.8","380.935968","2501.574452","shrub","shrub","subshrub"
"216","Polygon","217","109","PRGL2","ATCA2","GUSA2","6681452.926","11","Sandy","368111095.6","14574.13415","2642669.339","shrub","shrub","subshrub"
"217","Polygon","218","109","PRGL2","ATCA2","GUSA2","6681452.926","13","Shallow sandy","25426676.89","10957.01645","2072015.711","shrub","shrub","subshrub"
"218","Polygon","219","110","PRGL2","ATCA2","PLMU3","113981.748","11","Sandy","368111095.6","2015.914034","113981.748","shrub","shrub","PG"
"219","Polygon","220","111","PRGL2","ATCA2","SPAI","1037668.452","11","Sandy","368111095.6","4803.084608","1037668.452","shrub","shrub","PG"
"220","Polygon","221","112","PRGL2","ATCA2","YUEL","938874.3449","3","Deep sand","119701060","3304.255842","426152.976","shrub","shrub","succulent"
"221","Polygon","222","112","PRGL2","ATCA2","YUEL","938874.3449","11","Sandy","368111095.6","6320.677905","512721.3681","shrub","shrub","succulent"
"222","Polygon","223","113","PRGL2","BOER4","GUSA2","1846261.913","2","Clayey","13244532.45","7318.495581","313114.0752","shrub","PG","subshrub"
"223","Polygon","224","113","PRGL2","BOER4","GUSA2","1846261.913","11","Sandy","368111095.6","7805.752796","1533147.837","shrub","PG","subshrub"
"224","Polygon","225","114","PRGL2","BOER4","YUEL","586744.0089","11","Sandy","368111095.6","3504.414108","586744.0089","shrub","PG","succulent"
"225","Polygon","226","115","PRGL2","CELA","SCBR2","326787.7083","11","Sandy","368111095.6","2976.612234","326787.7083","shrub","shrub","PG"
"226","Polygon","227","116","PRGL2","FLCE","ATCA2","3507236.075","11","Sandy","368111095.6","21224.74673","3507236.075","shrub","shrub","shrub"
"227","Polygon","228","117","PRGL2","FLCE","LATR2","1520696.644","1","Bottomland","35299777.56","4520.951346","66850.06467","shrub","shrub","shrub"
"228","Polygon","229","117","PRGL2","FLCE","LATR2","1520696.644","3","Deep sand","119701060","8343.226451","1269164.577","shrub","shrub","shrub"
"229","Polygon","230","117","PRGL2","FLCE","LATR2","1520696.644","11","Sandy","368111095.6","2665.200658","184682.0022","shrub","shrub","shrub"
"230","Polygon","231","118","PRGL2","GUSA2"," ","29724873.71","2","Clayey","13244532.45","5857.986601","298466.5165","shrub","subshrub",NA
"231","Polygon","232","118","PRGL2","GUSA2"," ","29724873.71","3","Deep sand","119701060","22186.22346","7022447.453","shrub","subshrub",NA
"232","Polygon","233","118","PRGL2","GUSA2"," ","29724873.71","11","Sandy","368111095.6","77474.93466","20937396.54","shrub","subshrub",NA
"233","Polygon","234","118","PRGL2","GUSA2"," ","29724873.71","13","Shallow sandy","25426676.89","8304.988951","1466563.193","shrub","subshrub",NA
"234","Polygon","235","119","PRGL2","GUSA2","YUEL","1955386.284","2","Clayey","13244532.45","1218.911748","42143.14593","shrub","subshrub","succulent"
"235","Polygon","236","119","PRGL2","GUSA2","YUEL","1955386.284","11","Sandy","368111095.6","7311.193344","1913243.139","shrub","subshrub","succulent"
"236","Polygon","237","120","PRGL2","LATR2"," ","1142044.095","3","Deep sand","119701060","1375.631279","97284.10315","shrub","shrub",NA
"237","Polygon","238","120","PRGL2","LATR2"," ","1142044.095","11","Sandy","368111095.6","7271.612417","1044759.992","shrub","shrub",NA
"238","Polygon","239","121","PRGL2","LATR2","FLCE","2844662.926","1","Bottomland","35299777.56","833.935187","1997.662159","shrub","shrub","shrub"
"239","Polygon","240","121","PRGL2","LATR2","FLCE","2844662.926","3","Deep sand","119701060","1913.873776","166554.2575","shrub","shrub","shrub"
"240","Polygon","241","121","PRGL2","LATR2","FLCE","2844662.926","11","Sandy","368111095.6","17699.26068","2676111.007","shrub","shrub","shrub"
"241","Polygon","242","122","PRGL2","LATR2","MIACB","835431.4023","3","Deep sand","119701060","4253.315207","835431.4023","shrub","shrub","shrub"
"242","Polygon","243","123","PRGL2","PLMU3","FLCE","64237.02013","11","Sandy","368111095.6","1044.252365","64237.02013","shrub","PG","shrub"
"243","Polygon","244","124","PRGL2","PSSC6"," ","944266.9304","11","Sandy","368111095.6","5873.598047","944266.9304","shrub","shrub",NA
"244","Polygon","245","125","PRGL2","SCBR2","PLMU3","214669.9754","11","Sandy","368111095.6","5642.117323","214669.9754","shrub","PG","PG"
"245","Polygon","246","126","PRGL2","SPFL2"," ","61470.9562","11","Sandy","368111095.6","947.606835","52623.02661","shrub","PG",NA
"246","Polygon","247","126","PRGL2","SPFL2"," ","61470.9562","13","Shallow sandy","25426676.89","659.200656","8847.930675","shrub","PG",NA
"247","Polygon","248","127","PRGL2","SPFL2","GUSA2","2072824.431","11","Sandy","368111095.6","8904.484396","1069524.748","shrub","PG","subshrub"
"248","Polygon","249","127","PRGL2","SPFL2","GUSA2","2072824.431","13","Shallow sandy","25426676.89","6123.515967","1003299.683","shrub","PG","subshrub"
"249","Polygon","250","128","PRGL2","SPFL2","YUEL","5514872.158","11","Sandy","368111095.6","12974.28821","3074591.166","shrub","PG","succulent"
"250","Polygon","251","128","PRGL2","SPFL2","YUEL","5514872.158","13","Shallow sandy","25426676.89","8049.984304","2440280.993","shrub","PG","succulent"
"251","Polygon","252","129","PRGL2","YUEL","ARPU9","410110.9343","2","Clayey","13244532.45","2558.255982","334689.4665","shrub","succulent","PG"
"252","Polygon","253","129","PRGL2","YUEL","ARPU9","410110.9343","11","Sandy","368111095.6","2273.083743","75421.468","shrub","succulent","PG"
"253","Polygon","254","130","PRGL2","YUEL","GUSA2","12676395.23","3","Deep sand","119701060","19847.50279","6590198.962","shrub","succulent","subshrub"
"254","Polygon","255","130","PRGL2","YUEL","GUSA2","12676395.23","11","Sandy","368111095.6","32499.27734","4412062.172","shrub","succulent","subshrub"
"255","Polygon","256","130","PRGL2","YUEL","GUSA2","12676395.23","13","Shallow sandy","25426676.89","6955.646919","1673399.637","shrub","succulent","subshrub"
"256","Polygon","257","131","PRGL2"," "," ","455271.0698","3","Deep sand","119701060","2265.060678","226523.7078","shrub",NA,NA
"257","Polygon","258","131","PRGL2"," "," ","455271.0698","7","Limestone hills","125520706.8","79.544661","251.822249","shrub",NA,NA
"258","Polygon","259","131","PRGL2"," "," ","455271.0698","11","Sandy","368111095.6","2687.50578","228495.5395","shrub",NA,NA
"259","Polygon","260","132","PRGL2","ATCA2"," ","61344184.43","3","Deep sand","119701060","55000.33508","44386988","shrub","shrub",NA
"260","Polygon","261","132","PRGL2","ATCA2"," ","61344184.43","4","Draw","6092080.685","15212.70745","993327.1378","shrub","shrub",NA
"261","Polygon","262","132","PRGL2","ATCA2"," ","61344184.43","7","Limestone hills","125520706.8","8697.175842","271735.6456","shrub","shrub",NA
"262","Polygon","263","132","PRGL2","ATCA2"," ","61344184.43","11","Sandy","368111095.6","44856.37595","15692133.66","shrub","shrub",NA
"263","Polygon","264","133","PRGL2","GUSA2"," ","39354090.54","3","Deep sand","119701060","8014.428438","2754703.906","shrub","subshrub",NA
"264","Polygon","265","133","PRGL2","GUSA2"," ","39354090.54","4","Draw","6092080.685","245.717339","1425.665243","shrub","subshrub",NA
"265","Polygon","266","133","PRGL2","GUSA2"," ","39354090.54","11","Sandy","368111095.6","66425.47205","36597960.8","shrub","subshrub",NA
"266","Polygon","267","134","PSSC6","PRGL2","ARFI2","819842.4375","11","Sandy","368111095.6","5067.829178","819842.4375","shrub","shrub","shrub"
"267","Polygon","268","135","PSSC6","PRGL2","GUSA2","467736.0943","11","Sandy","368111095.6","3060.078117","467736.0943","shrub","shrub","subshrub"
"268","Polygon","269","136","PSSC6","SPFL2","YUEL","796861.1881","11","Sandy","368111095.6","3842.082151","796861.1881","shrub","PG","succulent"
"269","Polygon","270","137","PSSC6","YUEL","SPFL2","1601384.945","2","Clayey","13244532.45","324.940122","1999.102819","shrub","succulent","PG"
"270","Polygon","271","137","PSSC6","YUEL","SPFL2","1601384.945","11","Sandy","368111095.6","6217.182482","1599385.842","shrub","succulent","PG"
"271","Polygon","272","138","SCBR2"," "," ","1911456.447","2","Clayey","13244532.45","1303.317825","37528.89651","PG",NA,NA
"272","Polygon","273","138","SCBR2"," "," ","1911456.447","11","Sandy","368111095.6","17886.81298","1873927.551","PG",NA,NA
"273","Polygon","274","139","SCBR2","BOER4"," ","484912.749","11","Sandy","368111095.6","2945.040494","484912.749","PG","PG",NA
"274","Polygon","275","140","SCBR2","BOER4","ARPU9","335337.3538","11","Sandy","368111095.6","2350.935157","335337.3538","PG","PG","PG"
"275","Polygon","276","141","SCBR2","BOER4","PLMU3","1224557.212","11","Sandy","368111095.6","6954.16711","1224557.212","PG","PG","PG"
"276","Polygon","277","142","SCBR2","FLCE"," ","154354.5627","11","Sandy","368111095.6","1937.099268","154354.5627","PG","shrub",NA
"277","Polygon","278","143","SCBR2","FLCE","PLMU3","212469.5219","11","Sandy","368111095.6","2848.020787","212469.5219","PG","shrub","PG"
"278","Polygon","279","144","SCBR2","FLCE","SPAI","921956.4758","11","Sandy","368111095.6","5155.578499","921956.4758","PG","shrub","PG"
"279","Polygon","280","145","SCBR2","KOSP"," ","1174020.295","11","Sandy","368111095.6","9410.266836","1171829.72","PG","shrub",NA
"280","Polygon","281","146","SCBR2","KOSP","PRGL2","751580.3347","2","Clayey","13244532.45","2738.201554","279730.9312","PG","shrub","shrub"
"281","Polygon","282","146","SCBR2","KOSP","PRGL2","751580.3347","11","Sandy","368111095.6","4268.046587","463855.301","PG","shrub","shrub"
"282","Polygon","283","147","SCBR2","PLMU3"," ","2426297.229","11","Sandy","368111095.6","17034.56751","2426297.229","PG","PG",NA
"283","Polygon","284","148","SCBR2","PLMU3","FLCE","1716426.24","11","Sandy","368111095.6","10180.28526","1713554.57","PG","PG","shrub"
"284","Polygon","285","149","SCBR2","PLMU3","OPUNT","3546573.362","11","Sandy","368111095.6","27118.17442","3546573.362","PG","PG","succulent"
"285","Polygon","286","150","SCBR2","PLMU3","PRGL2","1038263.18","11","Sandy","368111095.6","7617.286652","1038263.18","PG","PG","shrub"
"286","Polygon","287","151","SCBR2","PRGL2"," ","37726.43016","11","Sandy","368111095.6","768.294064","37726.43016","PG","shrub",NA
"287","Polygon","288","152","SCBR2","PRGL2","EPHEDRA","269978.5779","11","Sandy","368111095.6","5492.193259","269978.5779","PG","shrub","succulent"
"288","Polygon","289","153","SCBR2","PRGL2","PLMU3","108854.5017","2","Clayey","13244532.45","898.997194","31408.06697","PG","shrub","PG"
"289","Polygon","290","153","SCBR2","PRGL2","PLMU3","108854.5017","11","Sandy","368111095.6","1393.922209","77446.43421","PG","shrub","PG"
"290","Polygon","291","154","SCBR2","SPAI"," ","185194.661","11","Sandy","368111095.6","1640.84425","185194.661","PG","PG",NA
"291","Polygon","292","155","SCBR2","SPAI","PLMU3","464154.6361","11","Sandy","368111095.6","4820.277305","464154.6361","PG","PG","PG"
"292","Polygon","293","156","SCBR2","SPAI","PRGL2","301580.3026","11","Sandy","368111095.6","3311.907522","301580.3026","PG","PG","shrub"
"293","Polygon","294","157","SCBR2","SPFL2","FLCE","704881.4085","11","Sandy","368111095.6","3827.613299","704881.4085","PG","PG","shrub"
"294","Polygon","295","158","SPAI"," "," ","154524.0585","2","Clayey","13244532.45","1519.193616","153334.2313","PG",NA,NA
"295","Polygon","296","158","SPAI"," "," ","154524.0585","11","Sandy","368111095.6","243.344409","1189.826813","PG",NA,NA
"296","Polygon","297","159","SPFL2","ARPU9"," ","251335.0229","11","Sandy","368111095.6","3113.124191","251335.0229","PG","PG",NA
"297","Polygon","298","160","SPFL2","ARPU9","PRGL2","1203988.032","11","Sandy","368111095.6","6099.725028","1203988.032","PG","PG","shrub"
"298","Polygon","299","161","SPFL2","ARPU9","YUEL","7375763.938","11","Sandy","368111095.6","24540.66263","7375763.938","PG","PG","succulent"
"299","Polygon","300","162","SPFL2","GUSA2","PRGL2","884368.1104","11","Sandy","368111095.6","5898.873383","884368.1104","PG","subshrub","shrub"
"300","Polygon","301","163","SPORO","EPHEDRA"," ","2321955.057","11","Sandy","368111095.6","33348.76392","2321955.057","PG","succulent",NA
"301","Polygon","302","164","YUEL","PRGL2","GUSA2","386546.6708","11","Sandy","368111095.6","3263.875885","386546.6708","succulent","shrub","subshrub"
"302","Polygon","303","165","YUEL","PRGL2"," ","414716.4026","3","Deep sand","119701060","4448.659351","357316.4828","succulent","shrub",NA
"303","Polygon","304","165","YUEL","PRGL2"," ","414716.4026","11","Sandy","368111095.6","1930.985441","57399.91869","succulent","shrub",NA
