FID,OBJECTID,VegUnite,ZST_DOM,ZND_DOM,ZRD_DOM,ecosite1,FGUnite,Dom1FG,Dom2FG,Dom3FG,esite1type,GSC
41,42,"FLCE,LATR2,GUSA2",FLCE,LATR2,GUSA2,Deep sand,"shrub,shrub,subshrub",shrub,shrub,subshrub,2,6
44,45,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Deep sand,"shrub,shrub,shrub",shrub,shrub,shrub,2,6
70,71,"GUSA2,PRGL2,",GUSA2,PRGL2,,Deep sand,"subshrub,shrub",subshrub,shrub,NA,2,6
79,80,"GUSA2,PRGL2,PSSC6",GUSA2,PRGL2,PSSC6,Deep sand,"subshrub,shrub,shrub",subshrub,shrub,shrub,2,6
89,90,"LATR2,FLCE,ACBR",LATR2,FLCE,ACBR,Deep sand,"shrub,shrub,tree",shrub,shrub,tree,2,6
96,97,"LATR2,FLCE,GUSA2",LATR2,FLCE,GUSA2,Deep sand,"shrub,shrub,subshrub",shrub,shrub,subshrub,2,6
101,102,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Deep sand,"shrub,shrub,shrub",shrub,shrub,shrub,2,6
126,127,"PRGL2,ARFI2,GUSA2",PRGL2,ARFI2,GUSA2,Deep sand,"shrub,shrub,subshrub",shrub,shrub,subshrub,2,6
131,132,"PRGL2,ATCA2,ARFI2",PRGL2,ATCA2,ARFI2,Deep sand,"shrub,shrub,shrub",shrub,shrub,shrub,2,6
134,135,"PRGL2,ATCA2,GUSA2",PRGL2,ATCA2,GUSA2,Deep sand,"shrub,shrub,subshrub",shrub,shrub,subshrub,2,6
138,139,"PRGL2,ATCA2,YUEL",PRGL2,ATCA2,YUEL,Deep sand,"shrub,shrub,succulent",shrub,shrub,succulent,2,6
143,144,"PRGL2,GUSA2,",PRGL2,GUSA2,,Deep sand,"shrub,subshrub",shrub,subshrub,NA,2,6
145,146,"PRGL2,GUSA2,ARFI2",PRGL2,GUSA2,ARFI2,Deep sand,"shrub,subshrub,shrub",shrub,subshrub,shrub,2,6
149,150,"PRGL2,GUSA2,ATCA2",PRGL2,GUSA2,ATCA2,Deep sand,"shrub,subshrub,shrub",shrub,subshrub,shrub,2,6
154,155,"PRGL2,GUSA2,LATR2",PRGL2,GUSA2,LATR2,Deep sand,"shrub,subshrub,shrub",shrub,subshrub,shrub,2,6
164,165,"PRGL2,LATR2,GUSA2",PRGL2,LATR2,GUSA2,Deep sand,"shrub,shrub,subshrub",shrub,shrub,subshrub,2,6
46,47,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Gravelly,"shrub,shrub,shrub",shrub,shrub,shrub,2,6
97,98,"LATR2,FLCE,GUSA2",LATR2,FLCE,GUSA2,Gravelly,"shrub,shrub,subshrub",shrub,shrub,subshrub,2,6
103,104,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Gravelly,"shrub,shrub,shrub",shrub,shrub,shrub,2,6
147,148,"PRGL2,GUSA2,ARFI2",PRGL2,GUSA2,ARFI2,Gravelly,"shrub,subshrub,shrub",shrub,subshrub,shrub,2,6
156,157,"PRGL2,GUSA2,LATR2",PRGL2,GUSA2,LATR2,Gravelly,"shrub,subshrub,shrub",shrub,subshrub,shrub,2,6
47,48,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2,Limestone hills,"shrub,shrub,shrub",shrub,shrub,shrub,2,6
128,129,"PRGL2,ARFI2,GUSA2",PRGL2,ARFI2,GUSA2,Limestone hills,"shrub,shrub,subshrub",shrub,shrub,subshrub,2,6
148,149,"PRGL2,GUSA2,ARFI2",PRGL2,GUSA2,ARFI2,Limestone hills,"shrub,subshrub,shrub",shrub,subshrub,shrub,2,6
157,158,"PRGL2,GUSA2,LATR2",PRGL2,GUSA2,LATR2,Limestone hills,"shrub,subshrub,shrub",shrub,subshrub,shrub,2,6
42,43,"FLCE,LATR2,PRGL2",FLCE,LATR2,PRGL2, ,"shrub,shrub,shrub",shrub,shrub,shrub,NA,6
35,36,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Bottomland,"shrub,shrub,PG",shrub,shrub,PG,1,5
55,56,"FLCE,PRGL2,SCBR2",FLCE,PRGL2,SCBR2,Bottomland,"shrub,shrub,PG",shrub,shrub,PG,1,5
90,91,"LATR2,FLCE,BOER4",LATR2,FLCE,BOER4,Bottomland,"shrub,shrub,PG",shrub,shrub,PG,1,5
95,96,"LATR2,FLCE,GUSA2",LATR2,FLCE,GUSA2,Bottomland,"shrub,shrub,subshrub",shrub,shrub,subshrub,1,5
100,101,"LATR2,FLCE,PRGL2",LATR2,FLCE,PRGL2,Bottomland,"shrub,shrub,shrub",shrub,shrub,shrub,1,5
151,152,"PRGL2,GUSA2,BOER4",PRGL2,GUSA2,BOER4,Bottomland,"shrub,subshrub,PG",shrub,subshrub,PG,1,5
36,37,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Draw,"shrub,shrub,PG",shrub,shrub,PG,1,5
107,108,"LATR2,FLCE,SCBR2",LATR2,FLCE,SCBR2,Draw,"shrub,shrub,PG",shrub,shrub,PG,1,5
39,40,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Loamy,"shrub,shrub,PG",shrub,shrub,PG,1,5
92,93,"LATR2,FLCE,BOER4",LATR2,FLCE,BOER4,Loamy,"shrub,shrub,PG",shrub,shrub,PG,1,5
40,41,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Sandy,"shrub,shrub,PG",shrub,shrub,PG,1,5
51,52,"FLCE,LATR2,SCBR2",FLCE,LATR2,SCBR2,Sandy,"shrub,shrub,PG",shrub,shrub,PG,1,5
54,55,"FLCE,LATR2,SPORO",FLCE,LATR2,SPORO,Sandy,"shrub,shrub,PG",shrub,shrub,PG,1,5
57,58,"FLCE,PRGL2,SCBR2",FLCE,PRGL2,SCBR2,Sandy,"shrub,shrub,PG",shrub,shrub,PG,1,5
73,74,"GUSA2,PRGL2,ARIST",GUSA2,PRGL2,ARIST,Sandy,"subshrub,shrub,PG",subshrub,shrub,PG,1,5
77,78,"GUSA2,PRGL2,BOER4",GUSA2,PRGL2,BOER4,Sandy,"subshrub,shrub,PG",subshrub,shrub,PG,1,5
81,82,"GUSA2,PRGL2,SCBR2",GUSA2,PRGL2,SCBR2,Sandy,"subshrub,shrub,PG",subshrub,shrub,PG,1,5
82,83,"GUSA2,PRGL2,SPORO",GUSA2,PRGL2,SPORO,Sandy,"subshrub,shrub,PG",subshrub,shrub,PG,1,5
93,94,"LATR2,FLCE,BOER4",LATR2,FLCE,BOER4,Sandy,"shrub,shrub,PG",shrub,shrub,PG,1,5
94,95,"LATR2,FLCE,DAPU7",LATR2,FLCE,DAPU7,Sandy,"shrub,shrub,PG",shrub,shrub,PG,1,5
113,114,"LATR2,PRGL2,BOER4",LATR2,PRGL2,BOER4,Sandy,"shrub,shrub,PG",shrub,shrub,PG,1,5
140,141,"PRGL2,BOER4,GUSA2",PRGL2,BOER4,GUSA2,Sandy,"shrub,PG,subshrub",shrub,PG,subshrub,1,5
160,161,"PRGL2,GUSA2,MUPO2",PRGL2,GUSA2,MUPO2,Sandy,"shrub,subshrub,PG",shrub,subshrub,PG,1,5
168,169,"PRGL2,SPORO,BOER4",PRGL2,SPORO,BOER4,Sandy,"shrub,PG,PG",shrub,PG,PG,1,5
50,51,"FLCE,LATR2,SCBR2",FLCE,LATR2,SCBR2,Deep sand,"shrub,shrub,PG",shrub,shrub,PG,2,5
56,57,"FLCE,PRGL2,SCBR2",FLCE,PRGL2,SCBR2,Deep sand,"shrub,shrub,PG",shrub,shrub,PG,2,5
72,73,"GUSA2,PRGL2,ARIST",GUSA2,PRGL2,ARIST,Deep sand,"subshrub,shrub,PG",subshrub,shrub,PG,2,5
75,76,"GUSA2,PRGL2,BOER4",GUSA2,PRGL2,BOER4,Deep sand,"subshrub,shrub,PG",subshrub,shrub,PG,2,5
106,107,"LATR2,FLCE,SCBR2",LATR2,FLCE,SCBR2,Deep sand,"shrub,shrub,PG",shrub,shrub,PG,2,5
130,131,"PRGL2,ARFI2,MUAR",PRGL2,ARFI2,MUAR,Deep sand,"shrub,shrub,PG",shrub,shrub,PG,2,5
152,153,"PRGL2,GUSA2,BOER4",PRGL2,GUSA2,BOER4,Deep sand,"shrub,subshrub,PG",shrub,subshrub,PG,2,5
159,160,"PRGL2,GUSA2,MUPO2",PRGL2,GUSA2,MUPO2,Deep sand,"shrub,subshrub,PG",shrub,subshrub,PG,2,5
161,162,"PRGL2,GUSA2,SPORO",PRGL2,GUSA2,SPORO,Deep sand,"shrub,subshrub,PG",shrub,subshrub,PG,2,5
167,168,"PRGL2,SPORO,BOER4",PRGL2,SPORO,BOER4,Deep sand,"shrub,PG,PG",shrub,PG,PG,2,5
37,38,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Gravelly,"shrub,shrub,PG",shrub,shrub,PG,2,5
53,54,"FLCE,LATR2,SPORO",FLCE,LATR2,SPORO,Gravelly,"shrub,shrub,PG",shrub,shrub,PG,2,5
59,60,"FLCE,SCBR2,BOER4",FLCE,SCBR2,BOER4,Gravelly,"shrub,PG,PG",shrub,PG,PG,2,5
91,92,"LATR2,FLCE,BOER4",LATR2,FLCE,BOER4,Gravelly,"shrub,shrub,PG",shrub,shrub,PG,2,5
108,109,"LATR2,FLCE,SCBR2",LATR2,FLCE,SCBR2,Gravelly,"shrub,shrub,PG",shrub,shrub,PG,2,5
111,112,"LATR2,PRGL2,BOER4",LATR2,PRGL2,BOER4,Gravelly,"shrub,shrub,PG",shrub,shrub,PG,2,5
38,39,"FLCE,LATR2,BOER4",FLCE,LATR2,BOER4,Limestone hills,"shrub,shrub,PG",shrub,shrub,PG,2,5
76,77,"GUSA2,PRGL2,BOER4",GUSA2,PRGL2,BOER4,Limestone hills,"subshrub,shrub,PG",subshrub,shrub,PG,2,5
109,110,"LATR2,FLCE,SCBR2",LATR2,FLCE,SCBR2,Limestone hills,"shrub,shrub,PG",shrub,shrub,PG,2,5
112,113,"LATR2,PRGL2,BOER4",LATR2,PRGL2,BOER4,Rock land,"shrub,shrub,PG",shrub,shrub,PG,NA,5
61,62,"FLCE,SCBR2,PLMU3",FLCE,SCBR2,PLMU3,Bottomland,"shrub,PG,PG",shrub,PG,PG,1,4
88,89,"LATR2,DAPU7,",LATR2,DAPU7,,Bottomland,"shrub,PG",shrub,PG,NA,1,4
114,115,"PLMU3,FLCE,LATR2",PLMU3,FLCE,LATR2,Bottomland,"PG,shrub,shrub",PG,shrub,shrub,1,4
204,205,"SPORssp,FLCE,PLMU3",SPORssp,FLCE,PLMU3,Bottomland,"shrub,PG",NA,shrub,PG,1,4
17,18,"BOER4,ARIST,PRGL2",BOER4,ARIST,PRGL2,Clayey,"PG,PG,shrub",PG,PG,shrub,1,4
25,26,"BOER4,PRGL2,YUEL",BOER4,PRGL2,YUEL,Clayey,"PG,shrub,succulent",PG,shrub,succulent,1,4
32,33,"EPHspp,PLMU3,GUSA2",EPHspp,PLMU3,GUSA2,Clayey,"succulent,PG,subshrub",succulent,PG,subshrub,1,4
58,59,"FLCE,SCBR2,BOER4",FLCE,SCBR2,BOER4,Clayey,"shrub,PG,PG",shrub,PG,PG,1,4
188,189,"SCBR2,PLMU3,FLCE",SCBR2,PLMU3,FLCE,Clayey,"PG,PG,shrub",PG,PG,shrub,1,4
116,117,"PLMU3,FLCE,LATR2",PLMU3,FLCE,LATR2,Loamy,"PG,shrub,shrub",PG,shrub,shrub,1,4
2,3,"ARIST,BOER4,PRGL2",ARIST,BOER4,PRGL2,Sandy,"PG,PG,shrub",PG,PG,shrub,1,4
8,9,"ARIST,GUSA2,BOER4",ARIST,GUSA2,BOER4,Sandy,"PG,subshrub,PG",PG,subshrub,PG,1,4
19,20,"BOER4,ARIST,PRGL2",BOER4,ARIST,PRGL2,Sandy,"PG,PG,shrub",PG,PG,shrub,1,4
27,28,"BOER4,PRGL2,YUEL",BOER4,PRGL2,YUEL,Sandy,"PG,shrub,succulent",PG,shrub,succulent,1,4
28,29,"BOER4,SCBR2,FLCE",BOER4,SCBR2,FLCE,Sandy,"PG,PG,shrub",PG,PG,shrub,1,4
29,30,"BOER4,YUEL,ARIST",BOER4,YUEL,ARIST,Sandy,"PG,succulent,PG",PG,succulent,PG,1,4
31,32,"BOER4,YUEL,SPORO",BOER4,YUEL,SPORO,Sandy,"PG,succulent,PG",PG,succulent,PG,1,4
33,34,"EPHspp,PLMU3,GUSA2",EPHspp,PLMU3,GUSA2,Sandy,"succulent,PG,subshrub",succulent,PG,subshrub,1,4
60,61,"FLCE,SCBR2,BOER4",FLCE,SCBR2,BOER4,Sandy,"shrub,PG,PG",shrub,PG,PG,1,4
62,63,"FLCE,SCBR2,PLMU3",FLCE,SCBR2,PLMU3,Sandy,"shrub,PG,PG",shrub,PG,PG,1,4
63,64,"FLCE,SCBR2,SPAI",FLCE,SCBR2,SPAI,Sandy,"shrub,PG,PG",shrub,PG,PG,1,4
64,65,"GUSA2,BOER4,ARIST",GUSA2,BOER4,ARIST,Sandy,"subshrub,PG,PG",subshrub,PG,PG,1,4
65,66,"GUSA2,BOER4,PRGL2",GUSA2,BOER4,PRGL2,Sandy,"subshrub,PG,shrub",subshrub,PG,shrub,1,4
67,68,"GUSA2,PLMU3,ARIST",GUSA2,PLMU3,ARIST,Sandy,"subshrub,PG,PG",subshrub,PG,PG,1,4
68,69,"GUSA2,PLMU3,SCBR2",GUSA2,PLMU3,SCBR2,Sandy,"subshrub,PG,PG",subshrub,PG,PG,1,4
117,118,"PLMU3,FLCE,LATR2",PLMU3,FLCE,LATR2,Sandy,"PG,shrub,shrub",PG,shrub,shrub,1,4
189,190,"SCBR2,PLMU3,FLCE",SCBR2,PLMU3,FLCE,Sandy,"PG,PG,shrub",PG,PG,shrub,1,4
66,67,"GUSA2,BOER4,PRGL2",GUSA2,BOER4,PRGL2,Shallow sandy,"subshrub,PG,shrub",subshrub,PG,shrub,1,4
74,75,"GUSA2,PRGL2,ARIST",GUSA2,PRGL2,ARIST,Shallow sandy,"subshrub,shrub,PG",subshrub,shrub,PG,1,4
141,142,"PRGL2,BOER4,GUSA2",PRGL2,BOER4,GUSA2,Shallow sandy,"shrub,PG,subshrub",shrub,PG,subshrub,1,4
3,4,"ARIST,BOER4,SPORO",ARIST,BOER4,SPORO,Deep sand,"PG,PG,PG",PG,PG,PG,2,3
6,7,"ARIST,BOER4,YUEL",ARIST,BOER4,YUEL,Deep sand,"PG,PG,succulent",PG,PG,succulent,2,3
10,11,"BOER4,ARIST,",BOER4,ARIST,,Deep sand,"PG,PG",PG,PG,NA,2,3
18,19,"BOER4,ARIST,PRGL2",BOER4,ARIST,PRGL2,Deep sand,"PG,PG,shrub",PG,PG,shrub,2,3
26,27,"BOER4,PRGL2,YUEL",BOER4,PRGL2,YUEL,Deep sand,"PG,shrub,succulent",PG,shrub,succulent,2,3
22,23,"BOER4,EPHspp,LATR2",BOER4,EPHspp,LATR2,Gravelly,"PG,succulent,shrub",PG,succulent,shrub,2,3
115,116,"PLMU3,FLCE,LATR2",PLMU3,FLCE,LATR2,Gravelly,"PG,shrub,shrub",PG,shrub,shrub,2,3
181,182,"SCBR2,PLMU3,",SCBR2,PLMU3,,Gravelly,"PG,PG",PG,PG,NA,2,3
195,196,"SCBR2,PLMU3,SPAI",SCBR2,PLMU3,SPAI,Gravelly,"PG,PG,PG",PG,PG,PG,2,3
200,201,"SCBR2,SPAI,PLMU3",SCBR2,SPAI,PLMU3,Gravelly,"PG,PG,PG",PG,PG,PG,2,3
205,206,"SPORssp,FLCE,PLMU3",SPORssp,FLCE,PLMU3,Gravelly,"shrub,PG",NA,shrub,PG,2,3
23,24,"BOER4,EPHspp,LATR2",BOER4,EPHspp,LATR2,Rock land,"PG,succulent,shrub",PG,succulent,shrub,NA,3
179,180,"SCBR2,PLMU3,",SCBR2,PLMU3,,Bottomland,"PG,PG",PG,PG,NA,1,2
