OBJECTID1928,ecosite1,ecosite2,ecosite3,VegUnite,GeneralizedStateNum,SiteName,FG1928,SP1915,matches
20,Deep sand,Sandy,Shallow sandy,"BOER4,ARPU9,YUEL",4,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,NA,NA",4,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,PG",4,Shallow sandy,PG,BOER4,1
20,Deep sand,Sandy,Shallow sandy,"BOER4,PRGL2,SPFL2",6,Shallow sandy,PG,BOER4,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,FLCE,NA",0,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2,MUPO2",0,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,SPFL2,MUPO2",2,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,FLCE,NA",4,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2,MUPO2",4,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,SPFL2,MUPO2",4,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,FLCE,NA",6,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2,MUPO2",6,Sandy,shrub,LATR2,1
23,Deep sand,Sandy,Shallow sandy,"LATR2,SPFL2,MUPO2",6,Sandy,shrub,LATR2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,ATCA2",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,SPFL2",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,GUSA2",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,NA",0,Sandy,shrub,PRGL2,1
