FID,Shape,OBJECTID,FID_Jornad,ecosite1,ecosite2,ecosite3,SUM_Shape_,FID_JERVeg,DOM1,DOM2,DOM3,SUM_Shape1,Shape_Leng,Shape_Area
104,Polygon,105,10,Draw,No ecosite, ,5763852.348,52,LATR,PRGL,FLCE,47405692.14,7764.325476,266937.5624
105,Polygon,106,10,Draw,No ecosite, ,5763852.348,53,LATR,PRGLD, ,9460687.824,17968.10874,891419.0033
106,Polygon,107,10,Draw,No ecosite, ,5763852.348,54,LATR,PRGLD,FLCE,25483520.6,1907.33667,42493.34576
107,Polygon,108,10,Draw,No ecosite, ,5763852.348,56,LATR,THAC,PAIN,1442818.27,325.934843,897.638267
108,Polygon,109,10,Draw,No ecosite, ,5763852.348,101,PRGLD, , ,57616084.18,606.551328,5690.666257
109,Polygon,110,10,Draw,No ecosite, ,5763852.348,102,PRGLD,ARFI,ATCA,1621466.198,2233.232817,74463.34966
110,Polygon,111,10,Draw,No ecosite, ,5763852.348,103,PRGLD,ARFI,QUTU,4103591.474,8355.736883,272860.5063
111,Polygon,112,10,Draw,No ecosite, ,5763852.348,109,PRGLD,ATCA,GUSA,6681452.926,2478.619348,123489.4675
112,Polygon,113,10,Draw,No ecosite, ,5763852.348,132,PRGLSH,ATCA, ,61344184.43,15212.70745,993327.1378
113,Polygon,114,10,Draw,No ecosite, ,5763852.348,133,PRGLSH,GUSA, ,39354090.54,245.717339,1425.665243
114,Polygon,115,11,Draw,Shallow sandy, ,151870.5168,52,LATR,PRGL,FLCE,47405692.14,5489.134445,150207.805
115,Polygon,116,12,Gravelly, , ,13255713.34,54,LATR,PRGLD,FLCE,25483520.6,1329.537279,16340.01953
116,Polygon,117,12,Gravelly, , ,13255713.34,56,LATR,THAC,PAIN,1442818.27,9967.134741,1119884.251
117,Polygon,118,12,Gravelly, , ,13255713.34,102,PRGLD,ARFI,ATCA,1621466.198,1400.858766,8611.810302
118,Polygon,119,12,Gravelly, , ,13255713.34,103,PRGLD,ARFI,QUTU,4103591.474,8121.445284,116492.4041
119,Polygon,120,13,Gravelly,Loamy, ,25616949.89,22,FLCE,LATR,PLMU,2217269.929,3856.705936,17460.47539
120,Polygon,121,13,Gravelly,Loamy, ,25616949.89,23,FLCE,LATR,PRGL,106827.5527,2140.066443,24319.46763
121,Polygon,122,13,Gravelly,Loamy, ,25616949.89,27,FLCE,PLMU,PRGLD,1053634.346,779.206181,11000.72103
122,Polygon,123,13,Gravelly,Loamy, ,25616949.89,39,LATR,COWA,MUPO,51968.02194,934.258164,51968.02194
